Program Code,Program,seq,PSLOID,Program Outcome
CC_CSL2,"Customer Service Technology Level 2, Certificate of Completion",1,CC_CSL2_PSLO1,"Using the touch-type method of keyboarding, with appropriate techniques, type at least 48 words per minute proficiently."
CC_CSL2,"Customer Service Technology Level 2, Certificate of Completion",2,CC_CSL2_PSLO2,"Given a business scenario and using current technology, develop a customer service strategy that enhances the customer experience and meets employer requirements."
CA_CYA,"Cybersecurity Analyst, Certificate of Achievement",1,CA_CYA_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
CA_CYA,"Cybersecurity Analyst, Certificate of Achievement",2,CA_CYA_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
CA_CYA,"Cybersecurity Analyst, Certificate of Achievement",3,CA_CYA_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
CA_CYA,"Cybersecurity Analyst, Certificate of Achievement",4,CA_CYA_PSLO4,Apply risk management concepts to develop policies and procedures following security best practices.
CAC_CYF,"Cybersecurity Fundamentals, Certificate of Accomplishment",1,CAC_CYF_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
CAC_CYF,"Cybersecurity Fundamentals, Certificate of Accomplishment",2,CAC_CYF_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
CAC_CYF,"Cybersecurity Fundamentals, Certificate of Accomplishment",3,CAC_CYF_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
CAC_CYF,"Cybersecurity Fundamentals, Certificate of Accomplishment",4,CAC_CYF_PSLO4,"Apply risk management concepts to develop policies and procedures following security best practices.
 "
AS_CYS,"Cybersecurity, Associate of Science Degree",1,AS_CYS_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
AS_CYS,"Cybersecurity, Associate of Science Degree",2,AS_CYS_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
AS_CYS,"Cybersecurity, Associate of Science Degree",3,AS_CYS_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
AS_CYS,"Cybersecurity, Associate of Science Degree",4,AS_CYS_PSLO4,Apply risk management concepts to develop policies and procedures following security best practices.
CA_CYS,"Cybersecurity, Certificate of Achievement",1,CA_CYS_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
CA_CYS,"Cybersecurity, Certificate of Achievement",2,CA_CYS_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
CA_CYS,"Cybersecurity, Certificate of Achievement",3,CA_CYS_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
CA_CYS,"Cybersecurity, Certificate of Achievement",4,CA_CYS_PSLO4,Apply risk management concepts to develop policies and procedures following security best practices.
AS_DAN,"Data Analytics, Associate of Science Degree",1,AS_DAN_PSLO1,"Apply the methods, techniques, and tools relevant to data analytics."
AS_DAN,"Data Analytics, Associate of Science Degree",2,AS_DAN_PSLO2,"Solve organizational problems by applying the methods, techniques, and tools relevant to systems analysis and design."
AS_DAN,"Data Analytics, Associate of Science Degree",3,AS_DAN_PSLO3,Demonstrate predictive analytics techniques to provide recommendations for common business scenarios.
CA_DAN,"Data Analytics, Certificate of Achievement",1,CA_DAN_PSLO1,"Apply the methods, techniques, and tools relevant to data analytics."
CA_DAN,"Data Analytics, Certificate of Achievement",2,CA_DAN_PSLO2,"Solve organizational problems by applying the methods, techniques, and tools relevant to systems analysis and design."
CA_DAN,"Data Analytics, Certificate of Achievement",3,CA_DAN_PSLO3,Demonstrate predictive analytics techniques to provide recommendations for common business scenarios.
CS_DAN,"Data Analytics, Certificate of Specialization",1,CS_DAN_PSLO1,"Apply the methods, techniques, and tools relevant to data analytics."
CS_DAN,"Data Analytics, Certificate of Specialization",2,CS_DAN_PSLO2,"Solve organizational problems by applying the methods, techniques, and tools relevant to systems analysis and design."
CS_DAN,"Data Analytics, Certificate of Specialization",3,CS_DAN_PSLO3,Demonstrate predictive analytics techniques to provide recommendations for common business scenarios.
CA_DSC,"Data Science, Certificate of Achievement",1,CA_DSC_PSLO1,"Recommend solutions to operational problems by applying data science methods, techniques, and applications."
CA_DSC,"Data Science, Certificate of Achievement",2,CA_DSC_PSLO2,Explain data extraction and cleaning techniques applied to a variety of data sources and data types to ensure quality.
CA_DSC,"Data Science, Certificate of Achievement",3,CA_DSC_PSLO3,Apply appropriate predictive analytics techniques to common operational scenarios.
CA_DSC,"Data Science, Certificate of Achievement",4,CA_DSC_PSLO4,Communicate complex datasets and findings by applying appropriate data visualization techniques.
CA_DIM,"Dietary Management, Certificate of Achievement",1,CA_DIM_PSLO1,Participate in the operation of food service systems to assure the nutrition needs of clients are being met.
CA_DIM,"Dietary Management, Certificate of Achievement",2,CA_DIM_PSLO2,Identify practices necessary to assure a safe and sanitary food service environment.
CA_DIM,"Dietary Management, Certificate of Achievement",3,CA_DIM_PSLO3,Plan and implement care plans to meet basic nutrition needs of clients.
AS_DFI,"Digital Forensics and Incident Response, Associate of Science Degree",1,AS_DFI_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
AS_DFI,"Digital Forensics and Incident Response, Associate of Science Degree",2,AS_DFI_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
AS_DFI,"Digital Forensics and Incident Response, Associate of Science Degree",3,AS_DFI_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
AS_DFI,"Digital Forensics and Incident Response, Associate of Science Degree",4,AS_DFI_PSLO4,Apply risk management concepts to develop policies and procedures following security best practices.
CA_DFI,"Digital Forensics and Incident Response, Certificate of Achievement",1,CA_DFI_PSLO1,"Evaluate and communicate the human role in security systems with an emphasis on ethics, social engineering vulnerabilities, and training."
CA_DFI,"Digital Forensics and Incident Response, Certificate of Achievement",2,CA_DFI_PSLO2,Assess security risks and identify methods to minimize their threat and/or impact.
CA_DFI,"Digital Forensics and Incident Response, Certificate of Achievement",3,CA_DFI_PSLO3,Demonstrate the ability to locate technical resources to resolve security-related issues with networking hardware and software.
CA_DFI,"Digital Forensics and Incident Response, Certificate of Achievement",4,CA_DFI_PSLO4,Apply risk management concepts to develop policies and procedures following security best practices.
CS_DMA,"Digital Media Animation and Gaming, Certificate of Specialization",1,CS_DMA_PSLO1,Select and use appropriate software and apply conceptual thinking skills to solve problems and complete specific technology-related projects.
CS_DMA,"Digital Media Animation and Gaming, Certificate of Specialization",2,CS_DMA_PSLO2,Utilize visual elements and principles of design to communicate ideas.
CS_DMA,"Digital Media Animation and Gaming, Certificate of Specialization",3,CS_DMA_PSLO3,Solve visual problems involving craftsmanship by using the creative process.
AA_DMD,"Digital Media Design, Associate of Arts Degree",1,AA_DMD_PSLO1,"Demonstrate the ability to create projects with the appropriate settings within the software for web, print, and animation while using basic design principles and best practices employed in the design industry."
AA_DMD,"Digital Media Design, Associate of Arts Degree",2,AA_DMD_PSLO2,"Demonstrate proficiency in determining the type of copyright, permissions, and licensing required to use specific content."
AA_DMD,"Digital Media Design, Associate of Arts Degree",3,AA_DMD_PSLO3,"Demonstrate the ability to identify the purpose, audience, and audience needs for preparing images."
CA_DMD,"Digital Media Design, Certificate of Achievement",1,CA_DMD_PSLO1,"Demonstrate the ability to create projects with the appropriate settings within the software for web, print, and animation while using basic design principles and best practices employed in the design industry."
CA_DMD,"Digital Media Design, Certificate of Achievement",2,CA_DMD_PSLO2,"Demonstrate proficiency in determining the type of copyright, permissions, and licensing required to use specific content."
CA_DMD,"Digital Media Design, Certificate of Achievement",3,CA_DMD_PSLO3,"Demonstrate the ability to identify the purpose, audience, and audience needs for preparing images."
CS_DMP,"Digital Media Production, Certificate of Specialization",1,CS_DMP_PSLO1,"Demonstrate the ability to create projects with the appropriate settings within the software for web, print, and animation while using basic design principles and best practices employed in the design industry."
CS_DMP,"Digital Media Production, Certificate of Specialization",2,CS_DMP_PSLO2,"Demonstrate proficiency in determining the type of copyright, permissions, and licensing required to use Adobe industry-standard production applications."
